Title,Movie Link,Year,Duration,MPA,Rating,Votes
The Count of Monte-Cristo,https://www.imdb.com/title/tt26446278/?ref_=sr_t_244,2024,2h 58m,,7.6,23K
Meiyazhagan,https://www.imdb.com/title/tt26758372/?ref_=sr_t_592,2024,2h 57m,,8.4,12K
Devara Part 1,https://www.imdb.com/title/tt11821912/?ref_=sr_t_97,2024,2h 56m,,6.0,19K
The Goat Life,https://www.imdb.com/title/tt5525650/?ref_=sr_t_185,2024,2h 53m,,7.1,46K
Viduthalai Part 2,https://www.imdb.com/title/tt25434834/?ref_=sr_t_337,2024,2h 50m,,8.6,14K
Lucky Baskhar,https://www.imdb.com/title/tt27540542/?ref_=sr_t_328,2024,2h 50m,,8.0,23K
Amaran,https://www.imdb.com/title/tt27118357/?ref_=sr_t_342,2024,2h 47m,,8.2,15K
The Seed of the Sacred Fig,https://www.imdb.com/title/tt32178949/?ref_=sr_t_213,2024,2h 47m,PG-13,7.6,4.7K
Fighter,https://www.imdb.com/title/tt13818368/?ref_=sr_t_168,2024,2h 46m,Not Rated,6.2,51K
Fight or Flight,https://www.imdb.com/title/tt13652286/?ref_=sr_t_599,2024,2h 46m,,7.0,117
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=sr_t_7,2024,2h 46m,PG-13,8.5,574K
Beating Hearts,https://www.imdb.com/title/tt27490099/?ref_=sr_t_575,2024,2h 46m,,7.3,2.4K
Kinds of Kindness,https://www.imdb.com/title/tt22408160/?ref_=sr_t_101,2024,2h 44m,R,6.5,52K
Bade Miyan Chote Miyan,https://www.imdb.com/title/tt18072316/?ref_=sr_t_180,2024,2h 43m,Not Rated,3.8,39K
Vettaiyan,https://www.imdb.com/title/tt26936666/?ref_=sr_t_596,2024,2h 43m,,7.1,38K
Vanvaas,https://www.imdb.com/title/tt29120307/?ref_=sr_t_451,2024,2h 40m,,6.8,550
Wicked,https://www.imdb.com/title/tt1262426/?ref_=sr_t_3,2024,2h 40m,PG,7.9,90K
Baby John,https://www.imdb.com/title/tt27757805/?ref_=sr_t_334,2024,2h 39m,,6.7,14K
Bhool Bhulaiyaa 3,https://www.imdb.com/title/tt26932223/?ref_=sr_t_134,2024,2h 38m,,4.8,75K
Article 370,https://www.imdb.com/title/tt30970235/?ref_=sr_t_163,2024,2h 38m,,7.8,24K
Bagheera,https://www.imdb.com/title/tt15380608/?ref_=sr_t_450,2024,2h 38m,,6.8,6.6K
Hanu Man,https://www.imdb.com/title/tt15433956/?ref_=sr_t_583,2024,2h 38m,,7.7,29K
Kajolrekha,https://www.imdb.com/title/tt30701665/?ref_=sr_t_281,2024,2h 36m,,6.3,151
Mechanic Rocky,https://www.imdb.com/title/tt27191250/?ref_=sr_t_521,2024,2h 36m,,7.0,3.3K
Thangalaan,https://www.imdb.com/title/tt23018924/?ref_=sr_t_466,2024,2h 36m,,6.8,5.7K
Aavesham,https://www.imdb.com/title/tt26660021/?ref_=sr_t_420,2024,2h 35m,,7.8,25K
Barroz: Guardian of Treasures,https://www.imdb.com/title/tt10345546/?ref_=sr_t_513,2024,2h 35m,,4.7,487
Despatch,https://www.imdb.com/title/tt15260176/?ref_=sr_t_471,2024,2h 33m,,4.5,4.2K
Jigra,https://www.imdb.com/title/tt26733317/?ref_=sr_t_362,2024,2h 33m,,6.1,22K
Vicky Vidya Ka Woh Wala Video,https://www.imdb.com/title/tt29330913/?ref_=sr_t_475,2024,2h 32m,,5.2,10K
Kanguva,https://www.imdb.com/title/tt22036406/?ref_=sr_t_530,2024,2h 32m,,4.6,14K
Soundtrack to a Coup d'Etat,https://www.imdb.com/title/tt14452174/?ref_=sr_t_226,2024,2h 30m,,8.1,656
