Title,Movie Link,Year,Duration,MPA,Rating,Votes
2024 Oscar Nominated Short Films: Documentary,https://www.imdb.com/title/tt31272312/?ref_=sr_t_114,2024,2h 13m,,7.7,17
2073,https://www.imdb.com/title/tt22042346/?ref_=sr_t_305,2024,1h 25m,,5.2,217
50 km/h,https://www.imdb.com/title/tt27395353/?ref_=sr_t_316,2024,1h 50m,R,6.1,521
A '90s Christmas,https://www.imdb.com/title/tt16270280/?ref_=sr_t_414,2024,1h 30m,,6.0,1K
A Complete Unknown,https://www.imdb.com/title/tt11563598/?ref_=sr_t_43,2024,2h 21m,R,7.8,8.4K
A Different Man,https://www.imdb.com/title/tt21097228/?ref_=sr_t_183,2024,1h 52m,R,7.0,14K
A Dog's Will 2,https://www.imdb.com/title/tt28696532/?ref_=sr_t_435,2024,1h 44m,,6.5,700
A Family Affair,https://www.imdb.com/title/tt21051906/?ref_=sr_t_384,2024,1h 51m,PG-13,5.3,34K
A Fragile Flower,https://www.imdb.com/title/tt31523149/?ref_=sr_t_228,2024,1h 36m,,4.4,65
A Little Family Drama,https://www.imdb.com/title/tt21337754/?ref_=sr_t_302,2024,1h 27m,PG-13,8.8,153
A Mistake,https://www.imdb.com/title/tt13605284/?ref_=sr_t_274,2024,1h 41m,,5.4,596
A Quiet Place: Day One,https://www.imdb.com/title/tt13433802/?ref_=sr_t_19,2024,1h 39m,PG-13,6.3,131K
A Real Pain,https://www.imdb.com/title/tt21823606/?ref_=sr_t_89,2024,1h 30m,R,7.3,11K
A Sacrifice,https://www.imdb.com/title/tt16491560/?ref_=sr_t_600,2024,1h 34m,R,5.1,4.3K
A Sudden Case of Christmas,https://www.imdb.com/title/tt32352172/?ref_=sr_t_356,2024,1h 31m,,5.1,1K
Aavesham,https://www.imdb.com/title/tt26660021/?ref_=sr_t_420,2024,2h 35m,,7.8,25K
Abigail,https://www.imdb.com/title/tt27489557/?ref_=sr_t_52,2024,1h 49m,R,6.6,86K
Absolution,https://www.imdb.com/title/tt8337290/?ref_=sr_t_120,2024,1h 52m,R,5.2,5.1K
Adopted,https://www.imdb.com/title/tt33347919/?ref_=sr_t_545,2024,1h 23m,,4.0,135
