Title,Movie Link,Year,Duration,MPA,Rating,Votes
Water Brother,https://www.imdb.com/title/tt14016126/?ref_=sr_t_241,2024,,,9.5,26
Laufey's A Night at the Symphony: Hollywood Bowl,https://www.imdb.com/title/tt34227779/?ref_=sr_t_170,2024,1h 38m,,9.4,87
Attack on Titan the Movie: The Last Attack,https://www.imdb.com/title/tt33175825/?ref_=sr_t_468,2024,2h 25m,,9.3,10K
Inheritance to Love,https://www.imdb.com/title/tt30934481/?ref_=sr_t_277,2024,1h 28m,,9.2,32
Desert Fiends,https://www.imdb.com/title/tt24132110/?ref_=sr_t_581,2024,,,9.2,185
Valleyheart,https://www.imdb.com/title/tt15104810/?ref_=sr_t_308,2024,1h 38m,,9.1,36
Something to Stand for with Mike Rowe,https://www.imdb.com/title/tt32277067/?ref_=sr_t_155,2024,1h 36m,,9.0,240
I'm Still Here,https://www.imdb.com/title/tt14961016/?ref_=sr_t_376,2024,2h 16m,PG-13,8.9,9.6K
The School Duel,https://www.imdb.com/title/tt33184621/?ref_=sr_t_572,2024,1h 30m,,8.9,46
Sight & Sound Presents: Daniel LIVE,https://www.imdb.com/title/tt33264824/?ref_=sr_t_122,2024,,,8.9,22
A Little Family Drama,https://www.imdb.com/title/tt21337754/?ref_=sr_t_302,2024,1h 27m,PG-13,8.8,153
Bad Shabbos,https://www.imdb.com/title/tt14402042/?ref_=sr_t_245,2024,1h 24m,,8.8,77
Queen of the Ring,https://www.imdb.com/title/tt28070202/?ref_=sr_t_401,2024,2h 10m,PG-13,8.6,93
GHOST: Rite Here Rite Now,https://www.imdb.com/title/tt32260498/?ref_=sr_t_121,2024,2h 25m,,8.6,1.8K
Fighting Spirit: A Combat Chaplain's Journey,https://www.imdb.com/title/tt29293520/?ref_=sr_t_255,2024,PG-13,,8.6,24
Viduthalai Part 2,https://www.imdb.com/title/tt25434834/?ref_=sr_t_337,2024,2h 50m,,8.6,14K
Queen Rock Montreal,https://www.imdb.com/title/tt30973483/?ref_=sr_t_141,2024,1h 35m,,8.5,737
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=sr_t_7,2024,2h 46m,PG-13,8.5,574K
The New Year That Never Came,https://www.imdb.com/title/tt33030375/?ref_=sr_t_344,2024,2h 18m,,8.4,3.6K
Luther: Never Too Much,https://www.imdb.com/title/tt10850320/?ref_=sr_t_219,2024,1h 41m,,8.4,232
Meiyazhagan,https://www.imdb.com/title/tt26758372/?ref_=sr_t_592,2024,2h 57m,,8.4,12K
Zurawski v Texas,https://www.imdb.com/title/tt33303798/?ref_=sr_t_291,2024,1h 38m,,8.4,61
Maharaja,https://www.imdb.com/title/tt26548265/?ref_=sr_t_367,2024,2h 21m,,8.4,60K
No Other Land,https://www.imdb.com/title/tt30953759/?ref_=sr_t_517,2024,1h 32m,,8.3,1.7K
Faith of Angels,https://www.imdb.com/title/tt30443437/?ref_=sr_t_190,2024,1h 38m,PG,8.2,89
Dan Da Dan: First Encounter,https://www.imdb.com/title/tt33343397/?ref_=sr_t_478,2024,1h 23m,,8.2,2.1K
The Remarkable Life of Ibelin,https://www.imdb.com/title/tt19811010/?ref_=sr_t_437,2024,1h 46m,PG-13,8.2,10K
The Heart Stays,https://www.imdb.com/title/tt3972986/?ref_=sr_t_278,2024,2h 16m,,8.2,9
Amaran,https://www.imdb.com/title/tt27118357/?ref_=sr_t_342,2024,2h 47m,,8.2,15K
"RM: Right People, Wrong Place",https://www.imdb.com/title/tt33319928/?ref_=sr_t_176,2024,1h 20m,,8.2,314
Manjummel Boys,https://www.imdb.com/title/tt26458038/?ref_=sr_t_441,2024,2h 15m,,8.2,25K
Jung Kook: I Am Still,https://www.imdb.com/title/tt32903026/?ref_=sr_t_125,2024,1h 30m,,8.2,7.5K
The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=sr_t_17,2024,1h 42m,PG,8.2,109K
Young Hearts,https://www.imdb.com/title/tt15245268/?ref_=sr_t_325,2024,1h 37m,,8.2,3.1K
Solo Leveling: ReAwakening,https://www.imdb.com/title/tt33428606/?ref_=sr_t_112,2024,2h 1m,R,8.2,1.8K
The World According to Allee Willis,https://www.imdb.com/title/tt30700475/?ref_=sr_t_275,2024,1h 37m,Not Rated,8.1,44
The Black Sea,https://www.imdb.com/title/tt30309913/?ref_=sr_t_285,2024,1h 36m,R,8.1,60
Sabbath Queen,https://www.imdb.com/title/tt32145808/?ref_=sr_t_258,2024,1h 45m,,8.1,47
Sookshma Darshini,https://www.imdb.com/title/tt32495687/?ref_=sr_t_474,2024,2h 22m,,8.1,3.3K
Kishkindha Kaandam,https://www.imdb.com/title/tt15980138/?ref_=sr_t_395,2024,2h 13m,,8.1,8.7K
Soundtrack to a Coup d'Etat,https://www.imdb.com/title/tt14452174/?ref_=sr_t_226,2024,2h 30m,,8.1,656
SUGA: Agust D Tour 'D-DAY' the Movie,https://www.imdb.com/title/tt31579728/?ref_=sr_t_143,2024,1h 24m,Not Rated,8.1,1.1K
The Brutalist,https://www.imdb.com/title/tt8999762/?ref_=sr_t_167,2024,3h 35m,R,8.1,3K
Made in England: The Films of Powell and Pressburger,https://www.imdb.com/title/tt19895822/?ref_=sr_t_306,2024,2h 11m,,8.0,1.1K
Lucky Baskhar,https://www.imdb.com/title/tt27540542/?ref_=sr_t_328,2024,2h 50m,,8.0,23K
The Salt Path,https://www.imdb.com/title/tt27766440/?ref_=sr_t_514,2024,1h 55m,,8.0,73
Super/Man: The Christopher Reeve Story,https://www.imdb.com/title/tt27902121/?ref_=sr_t_399,2024,1h 44m,PG-13,8.0,6.6K
How to Make Millions Before Grandma Dies,https://www.imdb.com/title/tt31392609/?ref_=sr_t_209,2024,2h 5m,TV-PG,8.0,9.2K
The Last Journey,https://www.imdb.com/title/tt30454602/?ref_=sr_t_425,2024,1h 30m,,8.0,4K
For King + Country: A Drummer Boy Christmas - Live,https://www.imdb.com/title/tt34422601/?ref_=sr_t_108,2024,1h 30m,,8.0,155
Black Box Diaries,https://www.imdb.com/title/tt30227076/?ref_=sr_t_283,2024,1h 42m,,7.9,514
Wallace & Gromit: Vengeance Most Fowl,https://www.imdb.com/title/tt17163970/?ref_=sr_t_321,2024,1h 19m,PG,7.9,13K
The Last Dance,https://www.imdb.com/title/tt31648020/?ref_=sr_t_428,2024,2h 6m,,7.9,1.5K
Lick,https://www.imdb.com/title/tt32810511/?ref_=sr_t_452,2024,1h 15m,,7.9,244
UI,https://www.imdb.com/title/tt23875550/?ref_=sr_t_359,2024,2h 15m,,7.9,4.8K
Eno,https://www.imdb.com/title/tt19854690/?ref_=sr_t_199,2024,1h 25m,,7.9,220
Look Back,https://www.imdb.com/title/tt31711040/?ref_=sr_t_139,2024,58m,13+,7.9,10K
Flow,https://www.imdb.com/title/tt4772188/?ref_=sr_t_130,2024,1h 25m,PG,7.9,11K
Anora,https://www.imdb.com/title/tt28607951/?ref_=sr_t_74,2024,2h 19m,R,7.9,53K
Wicked,https://www.imdb.com/title/tt1262426/?ref_=sr_t_3,2024,2h 40m,PG,7.9,90K
Marco,https://www.imdb.com/title/tt29383379/?ref_=sr_t_338,2024,2h 25m,,7.9,10K
The Life of Chuck,https://www.imdb.com/title/tt12908150/?ref_=sr_t_403,2024,1h 50m,,7.8,405
Aavesham,https://www.imdb.com/title/tt26660021/?ref_=sr_t_420,2024,2h 35m,,7.8,25K
Leap of Faith,https://www.imdb.com/title/tt33292849/?ref_=sr_t_264,2024,1h 26m,PG,7.8,29
Los Frikis,https://www.imdb.com/title/tt15744108/?ref_=sr_t_232,2024,1h 51m,R,7.8,595
I Am: Celine Dion,https://www.imdb.com/title/tt28620587/?ref_=sr_t_210,2024,1h 43m,PG,7.8,7.5K
Bramayugam,https://www.imdb.com/title/tt27431598/?ref_=sr_t_547,2024,2h 19m,,7.8,13K
Memoir of a Snail,https://www.imdb.com/title/tt23770030/?ref_=sr_t_184,2024,1h 35m,R,7.8,6.4K
Chandu Champion,https://www.imdb.com/title/tt27470893/?ref_=sr_t_550,2024,2h 22m,,7.8,33K
Article 370,https://www.imdb.com/title/tt30970235/?ref_=sr_t_163,2024,2h 38m,,7.8,24K
Max,https://www.imdb.com/title/tt27853611/?ref_=sr_t_552,2024,2h 12m,,7.8,2.1K
Haikyu!! The Dumpster Battle,https://www.imdb.com/title/tt30476486/?ref_=sr_t_91,2024,1h 25m,PG-13,7.8,5.2K
A Complete Unknown,https://www.imdb.com/title/tt11563598/?ref_=sr_t_43,2024,2h 21m,R,7.8,8.4K
Hanu Man,https://www.imdb.com/title/tt15433956/?ref_=sr_t_583,2024,2h 38m,,7.7,29K
Yacht Rock: A Dockumentary,https://www.imdb.com/title/tt34280353/?ref_=sr_t_503,2024,1h 35m,TV-MA,7.7,1.3K
Nr. 24,https://www.imdb.com/title/tt23782584/?ref_=sr_t_597,2024,1h 51m,,7.7,3.4K
Jesus,https://www.imdb.com/title/tt28354262/?ref_=sr_t_200,2024,2h 27m,,7.7,143
Better Man,https://www.imdb.com/title/tt14260836/?ref_=sr_t_246,2024,2h 14m,R,7.7,4.3K
Nosferatu,https://www.imdb.com/title/tt5040012/?ref_=sr_t_33,2024,2h 12m,R,7.7,42K
2024 Oscar Nominated Short Films: Documentary,https://www.imdb.com/title/tt31272312/?ref_=sr_t_114,2024,2h 13m,,7.7,17
Jesus Thirsts: The Miracle of the Eucharist,https://www.imdb.com/title/tt31529048/?ref_=sr_t_116,2024,1h 30m,Not Rated,7.7,65
Porcelain War,https://www.imdb.com/title/tt30294282/?ref_=sr_t_280,2024,1h 27m,R,7.6,416
Transformers One,https://www.imdb.com/title/tt8864596/?ref_=sr_t_34,2024,1h 44m,PG,7.6,41K
Kneecap,https://www.imdb.com/title/tt27367464/?ref_=sr_t_160,2024,1h 45m,R,7.6,11K
Ghostlight,https://www.imdb.com/title/tt30321095/?ref_=sr_t_179,2024,1h 55m,R,7.6,4.4K
Love in the Big City,https://www.imdb.com/title/tt33022813/?ref_=sr_t_542,2024,1h 58m,,7.6,771
Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/?ref_=sr_t_2,2024,2h 8m,R,7.6,441K
Nickel Boys,https://www.imdb.com/title/tt23055660/?ref_=sr_t_208,2024,2h 20m,PG-13,7.6,988
The Seed of the Sacred Fig,https://www.imdb.com/title/tt32178949/?ref_=sr_t_213,2024,2h 47m,PG-13,7.6,4.7K
Bocchi the Rock! Re:,https://www.imdb.com/title/tt32561659/?ref_=sr_t_221,2024,1h 30m,,7.6,121
The Bibi Files,https://www.imdb.com/title/tt33338697/?ref_=sr_t_490,2024,1h 55m,,7.6,736
¡Casa Bonita Mi Amor!,https://www.imdb.com/title/tt32149731/?ref_=sr_t_229,2024,1h 28m,,7.6,1.1K
The Count of Monte-Cristo,https://www.imdb.com/title/tt26446278/?ref_=sr_t_244,2024,2h 58m,,7.6,23K
Inside Out 2,https://www.imdb.com/title/tt22022452/?ref_=sr_t_1,2024,1h 36m,PG,7.6,194K
